"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_total_bases","b_hit_by_pitch","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bellinger, Cody","641355","2024","28","516","569","137","93","23","3","18","89","45",15.6,7.9,".266",".426",".325","0.751","220","3",".245",".400",".322",".305",".308",".154",69,5.2,9.7,7.7,38.6,30.6,"7.6","22","87.8","17.4",32.9,6.3,32.9,"97.314029213","92.768351065",22.2,49.8
"Olson, Matt","621566","2024","30","600","685","148","81","37","1","29","170","71",24.8,10.4,".247",".457",".333","0.790","274","9",".249",".454",".339",".342",".337",".206",73.8,38.5,15.1,11.2,26.5,19.5,"7.3","11","91.5","16.1",35.4,12.4,47.4,"102.726279537","95.899543218",26.3,49.7
"Adames, Willy","642715","2024","28","610","688","153","88","33","0","32","173","74",25.1,10.8,".251",".462",".331","0.793","282","1",".248",".474",".342",".344",".329",".227",73.6,33.5,13.1,9.6,28.7,20.9,"8.1","9","88.6","20.6",38.2,12,40.7,"99.769639045","94.108759136",29.5,49.5
"Alonso, Pete","624413","2024","29","608","695","146","81","31","0","34","172","70",24.7,10.1,".240",".459",".329","0.788","279","13",".246",".470",".340",".345",".335",".224",75.2,52.3,18.5,14.1,29.8,22.7,"7.3","20","89.8","14.4",30.5,13.2,46.4,"102.785114727","95.699086105",24.7,42.9
"Vaughn, Andrew","683734","2024","26","570","619","140","90","30","1","19","132","38",21.3,6.1,".246",".402",".297","0.699","229","6",".245",".449",".304",".321",".299",".204",70.8,12,16.2,12.9,35.4,28.3,"7.6","12","90.3","16.6",33.6,9.3,43.3,"100.921632928","94.702971332",22,49.4
"Contreras, William","661388","2024","26","595","679","167","105","37","2","23","139","78",20.5,11.5,".281",".466",".365","0.831","277","3",".271",".483",".359",".360",".357",".211",74.7,50.4,21.1,15.7,34.9,25.9,"7.3","25","92.8","6.1",29,10,49.5,"103.875480043","96.642602527",27.8,47.4
"Alvarez, Yordan","670541","2024","27","552","635","170","99","34","2","35","95","69",15,10.9,".308",".567",".392","0.959","313","10",".305",".608",".402",".414",".391",".303",76.6,63.2,22.4,18.2,34,27.7,"7.6","1","93.1","18.3",35.4,14.5,49.7,"104.097105087","96.703519522",19.9,47.8
"Torres, Gleyber","650402","2024","27","587","665","151","110","26","0","15","136","65",20.5,9.8,".257",".378",".330","0.708","222","3",".242",".379",".313",".310",".319",".137",70.1,9,10.2,8.1,32.7,26,"7.2","21","88.6","15",38.2,6.3,35.4,"98.295655921","93.36890443",22.9,45.7
"Turang, Brice","668930","2024","24","559","619","142","107","24","4","7","105","50",17,8.1,".254",".349",".316","0.665","195","2",".263",".344",".294",".298",".325",".082",66.2,3.5,6.2,5.4,33.8,29.2,"6.1","12","87","6.1",32,2.4,29.7,"96.869333063","92.521821874",13.7,47.7
"Naylor, Josh","647304","2024","27","563","633","137","79","27","0","31","105","58",16.6,9.2,".243",".456",".320","0.776","257","7",".257",".448",".332",".334",".333",".190",72.9,32.8,15.5,12.4,33.9,27.1,"7.6","11","89.9","11.1",30.1,8.4,40.9,"100.815360087","94.680816725",22.4,50.3
"Cronenworth, Jake","630105","2024","30","577","656","139","90","29","3","17","118","61",18,9.3,".241",".390",".324","0.714","225","11",".263",".429",".315",".338",".345",".166",69.4,6.1,11.7,9.7,31.9,26.4,"7.1","11","88.6","13.9",35.4,7.8,36.7,"99.527561266","93.904133654",17,45
"Tovar, Ezequiel","678662","2024","22","655","695","176","101","45","4","26","200","23",28.8,3.3,".269",".469",".295","0.764","307","4",".235",".406",".324",".289",".265",".171",71.3,18.9,11.8,8,30.6,20.9,"7.5","17","88.8","18.9",38.5,9,39.8,"99.306485852","93.964016332",33.5,62.3
"Díaz, Yandy","650490","2024","32","563","621","158","112","31","1","14","95","50",15.3,8.1,".281",".414",".341","0.755","233","4",".280",".429",".331",".337",".342",".149",73.3,34.4,22,19.2,36.6,32,"7.5","2","92.2","5",28.4,7.6,48.7,"103.441830979","96.263007825",14.2,43.9
"Profar, Jurickson","595777","2024","31","564","668","158","105","29","0","24","101","76",15.1,11.4,".280",".459",".380","0.839","259","18",".283",".448",".365",".364",".384",".165",71.7,22.8,12.4,10.4,32.2,27,"7.3","13","91.1","13.4",31.3,7.2,44.4,"100.952441293","94.862553707",16.9,45.6
"Machado, Manny","592518","2024","31","593","643","163","104","30","0","29","124","45",19.3,7,".275",".472",".325","0.797","280","1",".274",".466",".340",".338",".327",".193",75.3,53.6,20.7,16.3,31.6,24.8,"7.8","25","92.5","12.7",33.8,11,48.8,"103.370494128","96.17209183",24.4,51.6
"Bohm, Alec","664761","2024","27","554","606","155","94","44","2","15","86","40",14.2,6.6,".280",".448",".332","0.780","248","6",".291",".453",".335",".345",".345",".162",72.2,21.3,18.7,15.6,39.3,32.8,"7.4","9","90.4","10.1",35.2,6.8,45.6,"100.768220847","94.781662669",17.6,49.7
"Rutschman, Adley","668939","2024","26","571","638","143","102","21","1","19","103","58",16.1,9.1,".250",".391",".318","0.709","223","2",".258",".402",".309",".319",".328",".144",69.1,6.4,10.6,8.9,35.7,30,"6.9","9","88.2","18.8",35.4,6.1,36.6,"98.081119454","93.149039684",17.1,44.5
"Burleson, Alec","676475","2024","25","547","595","147","106","20","0","21","76","35",12.8,5.9,".269",".420",".314","0.734","230","4",".274",".440",".319",".329",".321",".166",71.2,18,13.3,11.1,37.1,31,"7.5","11","89.7","13.6",34.3,6.5,41.7,"99.381927173","94.012155751",19.2,55.7
"Ohtani, Shohei","660271","2024","29","636","731","197","98","38","7","54","162","81",22.2,11.1,".310",".646",".390","1.036","411","6",".320",".678",".431",".448",".401",".358",76.4,64.3,25.4,17.9,38,26.8,"7.8","10","95.8","16.2",37.8,21.5,60.1,"106.727792385","98.772122364",29.8,47.3
"Diaz, Yainer","673237","2024","25","585","619","175","127","29","3","16","107","24",17.3,3.9,".299",".441",".325","0.766","258","2",".300",".465",".329",".340",".327",".165",72.6,23.7,17.1,13.2,34.4,26.5,"7.4","17","90.2","8.9",35,7.6,47.5,"101.297056214","95.034359505",24,58.8
"Winn, Masyn","691026","2024","22","587","637","157","105","32","5","15","109","41",17.1,6.4,".267",".416",".314","0.730","244","1",".259",".366",".315",".296",".308",".107",70.2,11.5,12,9.9,32.2,26.5,"7.3","14","87","13.2",33.5,3.7,32.7,"98.144268452","93.085870398",18.8,47
"Arenado, Nolan","571448","2024","33","578","635","157","118","23","0","16","92","44",14.5,6.9,".272",".394",".325","0.719","228","5",".256",".361",".314",".297",".313",".105",70.7,12.8,9.2,7.8,32.3,27.6,"8.2","29","86.3","16.9",35.9,3.2,31.6,"96.924147927","92.483246402",17.2,46.8
"Giménez, Andrés","665926","2024","25","583","633","147","115","22","1","9","97","26",15.3,4.1,".252",".340",".298","0.638","198","15",".265",".362",".281",".299",".313",".097",68.3,7,7.8,5.9,31.6,24,"7","16","86.3","8.7",32.7,2.8,28.5,"96.492499139","92.262342361",22.5,56.4
"Peña, Jeremy","665161","2024","26","602","650","160","115","28","2","15","111","25",17.1,3.8,".266",".394",".308","0.702","237","14",".269",".404",".305",".313",".313",".135",72.6,22.2,15,11.4,33.6,25.4,"7.6","13","88.2","7.5",29.2,5.4,38.8,"99.323506707","93.74168435",24.9,54.2
"Hoerner, Nico","663538","2024","27","582","641","159","116","35","1","7","66","44",10.3,6.9,".273",".373",".335","0.708","217","12",".283",".357",".313",".314",".346",".075",68.2,2.8,7.2,6.4,35.4,31.7,"7.1","11","85.7","10.4",36,1.2,27.6,"95.980926525","91.993965849",11.6,48.4
"Witt Jr., Bobby","677951","2024","24","636","709","211","123","45","11","32","106","57",15,8,".332",".588",".389","0.977","374","8",".321",".594",".410",".413",".384",".273",74.7,48.3,20.4,16.1,34.9,27.5,"7.1","16","92.7","15.1",35.7,14.3,48.3,"103.972880446","96.499868141",22.3,51.2
"Ramírez, José","608070","2024","31","620","682","173","93","39","2","39","82","54",12,7.9,".279",".537",".335","0.872","333","1",".262",".460",".364",".332",".323",".198",71.6,19.3,14.1,12.3,32.5,28.3,"7.3","17","89.2","19.6",34,8.6,39.7,"99.642954081","93.982319614",15.2,49.4
"Semien, Marcus","543760","2024","33","650","718","154","102","27","2","23","105","64",14.6,8.9,".237",".391",".308","0.699","254","3",".257",".404",".306",".319",".327",".147",68.3,4.2,12,9.8,37.6,30.8,"7.7","27","87.4","17",33,6.6,35.2,"97.806210919","93.005121934",20.2,50
"McCutchen, Andrew","457705","2024","37","448","515","104","65","18","1","20","133","58",25.8,11.3,".232",".411",".328","0.739","184","7",".233",".432",".325",".331",".329",".199",72.7,25.2,14.9,11.1,31.1,23.1,"7.6","11","88.4","14.3",31.5,11.7,36.7,"99.420601139","93.81124019",28.9,42
"Gelof, Zack","680869","2024","24","497","547","105","66","20","2","17","188","38",34.4,6.9,".211",".362",".270","0.632","180","4",".202",".353",".276",".273",".265",".152",71.6,11.7,12,7.8,30.4,19.8,"7.3","23","89.2","14.2",34.4,8.8,37.2,"98.970921935","93.611147032",36.4,51.5
"O'Hoppe, Logan","681351","2024","24","479","522","117","79","17","1","20","155","33",29.7,6.3,".244",".409",".303","0.712","196","8",".256",".470",".311",".337",".314",".214",70.7,17.4,14.6,10.1,32.9,22.7,"7.3","41","90.4","15.3",42.9,12,46.3,"101.233350982","95.0870388",33.6,52
"Winker, Jesse","608385","2024","30","430","508","109","72","23","0","14","106","63",20.9,12.4,".253",".405",".360","0.765","174","10",".245",".388",".338",".329",".353",".142",69.6,7.3,11.7,9.6,32.8,27,"7.3","19","88.6","14",30.1,7.6,37.4,"98.91091179","93.570274815",19.6,43.2
"Cowser, Colton","681297","2024","24","499","561","121","70","24","3","24","172","52",30.7,9.3,".242",".447",".321","0.768","223","7",".234",".449",".331",".331",".316",".215",73.8,40.7,17,12.4,31,22.7,"6.9","23","90.5","13",32.1,13.6,46.1,"101.838992303","95.374243739",30.3,44.5
"Busch, Michael","683737","2024","26","496","567","123","72","28","2","21","162","63",28.6,11.1,".248",".440",".335","0.775","218","4",".221",".428",".336",".321",".313",".208",70.3,11.3,13.3,9.6,35.1,25.2,"7.3","18","90","17.1",36.4,11.2,39.9,"99.992212321","94.370236478",28.4,45.2
"Thomas, Lane","657041","2024","28","472","528","112","68","26","3","15","137","44",25.9,8.3,".237",".400",".309","0.709","189","7",".246",".383",".309",".310",".318",".138",71.7,16.7,15.7,12.5,33.1,26.2,"6.8","20","88.8","17",31.5,7.4,40.6,"100.376555353","94.3557595",23.3,43.8
"Meyers, Jake","676694","2024","28","461","513","101","65","20","3","13","117","35",22.8,6.8,".219",".360",".286","0.646","166","10",".240",".393",".285",".308",".307",".153",68.6,7.8,10.6,8,31.6,23.8,"7","31","88.2","14.4",34.8,6.8,37,"99.317270058","93.726741906",26.7,49.1
"Arraez, Luis","650333","2024","27","637","672","200","161","32","3","4","29","24",4.3,3.6,".314",".392",".346","0.738","250","8",".312",".405",".323",".326",".345",".093",63.2,0.3,4.9,4.6,46.5,43.9,"6","8","86.3","13.7",40.9,1.6,23.7,"94.838000362","91.449624457",6.8,49.8
"Soler, Jorge","624585","2024","32","493","574","119","63","34","1","21","141","68",24.6,11.8,".241",".442",".338","0.780","218","6",".247",".454",".340",".349",".345",".207",75.4,57,15.8,11.5,29.8,21.7,"7.9","12","90.5","17.9",33.4,12.6,44.1,"101.898357865","95.262490702",28.9,44.5
"Greene, Riley","682985","2024","23","512","584","134","77","27","6","24","156","64",26.7,11,".262",".479",".348","0.827","245","5",".258",".490",".355",".357",".345",".232",74.6,45.3,16.9,12.5,30.6,22.7,"7.2","7","91.3","12.2",39.1,13.4,47.1,"102.088081676","95.54007409",26.8,44.3
"Lowe, Nathaniel","663993","2024","28","486","565","129","96","16","1","16","125","71",22.1,12.6,".265",".401",".361","0.762","195","4",".254",".386",".337",".329",".354",".132",73.3,29.3,15.2,12.4,28.3,23,"7.3","23","88.9","7.7",32.6,5.8,40,"100.432822253","94.330442369",20.6,42.7
"Mountcastle, Ryan","663624","2024","27","473","507","128","83","30","2","13","114","27",22.5,5.3,".271",".425",".308","0.733","201","1",".275",".455",".316",".335",".316",".180",75.1,50.1,15.9,12.2,27.3,20.9,"7.5","15","90.8","10.4",36.2,8.8,45.2,"102.105716923","95.370233104",25.1,56.1
"Rodgers, Brendan","663898","2024","27","501","539","134","91","29","1","13","132","31",24.5,5.8,".267",".407",".314","0.721","204","4",".249",".383",".314",".297",".298",".134",71.7,25.2,14.4,11,31.5,24.1,"7.1","26","89.3","4.9",33.1,5.6,44.1,"101.153269243","94.773964417",25.9,49.3
"Turner, Justin","457759","2024","39","460","539","119","84","24","0","11","95","59",17.6,10.9,".259",".383",".354","0.737","176","13",".254",".389",".327",".330",".353",".135",65.1,0.8,5,4.3,32.5,27.9,"6.3","16","87.1","17.8",40.1,4.6,32.5,"96.702342312","92.434680753",17,45.4
"Young, Jacob","696285","2024","24","468","521","120","92","24","1","3","102","30",19.6,5.8,".256",".331",".316","0.647","155","12",".260",".326",".290",".290",".320",".066",68.2,1.4,8.9,7.4,35.7,29.4,"6.9","20","85.8","4",28.1,1.6,28.9,"96.872142235","92.486924676",18.2,44.9
"Morel, Christopher","666624","2024","25","535","611","105","70","11","3","21","159","61",26,10,".196",".346",".288","0.634","185","10",".227",".407",".280",".318",".317",".181",76.1,64.7,17.6,11.7,30.2,20.1,"8","24","89.2","14.2",27.6,10.2,40.4,"101.221222105","94.784090605",34.1,47
"Benintendi, Andrew","643217","2024","29","477","522","109","69","20","0","20","96","41",18.4,7.9,".229",".396",".289","0.685","189","1",".248",".401",".298",".308",".307",".153",68,1,9.1,7.3,39.8,31.9,"6.7","12","88","16.1",36.5,6.3,34.4,"97.17823","92.764984068",20.9,48
"Schwarber, Kyle","656941","2024","31","573","692","142","82","22","0","38","197","106",28.5,15.3,".248",".485",".366","0.851","278","5",".257",".519",".366",".380",".375",".262",77.5,78,22.9,16.4,32,22.9,"7.7","38","93.6","15",31.8,15.6,55.5,"105.154527813","97.529843438",32,39.9
