"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_total_bases","b_hit_by_pitch","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Devers, Rafael","646240","2024","27","525","601","143","76","34","5","28","147","67",24.5,11.1,".272",".516",".354","0.870","271","3",".274",".520",".364",".366",".357",".247",72.5,28,19.4,13.8,32.8,23.3,"7.4","24","93.2","11.6",35.2,13,52.6,"104.594814974","97.088982016",30.9,50.9
"Betts, Mookie","605141","2024","31","450","516","130","82","24","5","19","57","61",11,11.8,".289",".491",".372","0.863","221","1",".288",".462",".371",".363",".374",".174",69,9.4,11.6,10.2,42.1,36.8,"6.9","19","89.9","21.4",39.3,6,39.5,"98.50877402","93.575257103",14.9,40.4
"Rafaela, Ceddanne","678882","2024","23","544","571","134","91","23","5","15","151","15",26.4,2.6,".246",".390",".274","0.664","212","7",".235",".380",".286",".278",".264",".145",70.1,6.8,11.5,7.9,30.5,20.9,"7.5","24","86.6","14.9",34.9,7.5,36.9,"98.205036294","93.166643181",32.9,61.9
"Frelick, Sal","686217","2024","24","475","524","123","95","22","4","2","78","39",14.9,7.4,".259",".335",".320","0.655","159","4",".248",".306",".292",".277",".310",".059",66.3,2.6,6,5.3,36.1,31.7,"6.9","10","83.4","9.7",30,0.8,19.5,"94.439757846","91.272403907",12.8,41.5
"Hernández, Teoscar","606192","2024","31","589","652","160","93","32","2","33","188","53",28.8,8.1,".272",".501",".339","0.840","295","8",".253",".496",".360",".348",".323",".243",73.3,32.1,18.3,12.3,29.3,19.8,"7.8","29","90.6","10.3",33.8,14.9,46.8,"102.727395423","95.689116559",34,51.2
"Happ, Ian","664023","2024","29","569","657","138","77","34","2","25","168","80",25.6,12.2,".243",".441",".341","0.782","251","6",".247",".458",".341",".349",".346",".211",72.4,23.7,15.1,11,31.8,23.2,"7","18","90.8","15.1",37,11.7,45.2,"101.590666318","95.287992294",27.8,45.9
"Marte, Ketel","606466","2024","30","504","583","147","86","23","2","36","106","65",18.2,11.1,".292",".560",".372","0.932","282","5",".298",".549",".391",".395",".382",".252",73.7,40.5,20.3,16.2,38.2,30.6,"7.6","6","94","9.4",33.7,12.3,53.8,"103.991137178","96.920444406",21.3,48.2
"Smith, Josh","669701","2024","26","523","592","135","91","30","1","13","121","46",20.4,7.8,".258",".394",".337","0.731","206","18",".243",".356",".323",".304",".325",".113",70.1,6.8,11.8,9.2,35.7,27.8,"6.8","10","87.8","15.4",33.7,3.7,37.1,"98.306997711","93.25999596",21.7,47.1
"Keith, Colt","690993","2024","22","516","556","134","102","15","4","13","110","36",19.8,6.5,".260",".380",".309","0.689","196","2",".269",".401",".301",".313",".319",".132",71.3,14.8,12.5,9.7,35,27.2,"6.7","14","87.8","11.3",34.6,5.6,35.3,"98.472613627","93.330372181",23.2,48.6
"García, Adolis","666969","2024","31","580","637","130","78","27","0","25","177","45",27.8,7.1,".224",".400",".284","0.684","232","6",".229",".422",".296",".308",".291",".193",71.9,23,16.4,11.1,33.4,22.6,"7.9","14","91","15",33.7,12.5,48.2,"101.827676765","95.435631691",34.3,52.1
"Chourio, Jackson","694192","2024","20","528","573","145","91","29","4","21","121","39",21.1,6.8,".275",".464",".327","0.791","245","3",".278",".438",".339",".330",".330",".160",73.2,34,17.9,13.5,34.5,26,"7.4","22","89.7","7.6",33.2,7.8,44.9,"100.832969557","94.831073407",27.1,48.8
"Chisholm Jr., Jazz","665862","2024","26","562","621","144","95","21","4","24","152","53",24.5,8.5,".256",".436",".324","0.760","245","4",".242",".423",".327",".318",".313",".180",72,23.1,15.1,10.7,32.4,22.8,"7.5","11","89.7","11.4",29.6,9.7,41.1,"100.122466782","94.459141861",29.1,47.5
"Harper, Bryce","547180","2024","31","550","631","157","85","42","0","30","138","76",21.9,12,".285",".525",".373","0.898","289","2",".271",".488",".380",".361",".362",".216",74.1,41.5,17.6,13.2,28.1,21.1,"7.3","14","91.1","13.5",36.1,10.6,48.2,"102.531835097","95.63882949",26.6,52.9
"Nimmo, Brandon","607043","2024","31","571","663","128","77","25","3","23","158","77",23.8,11.6,".224",".399",".327","0.726","228","12",".246",".419",".321",".337",".348",".173",73.4,36.1,15.5,12.2,30.9,24.2,"7.3","18","91.9","11.2",33.7,9.1,47.4,"101.264982933","95.221659687",23.4,44.8
"Gurriel Jr., Lourdes","666971","2024","30","513","553","143","101","22","2","18","101","29",18.3,5.2,".279",".435",".322","0.757","223","6",".271",".428",".327",".321",".315",".157",70.6,9.5,13.4,10.9,31.5,25.7,"7.5","12","88.4","15.7",33.8,6.7,40,"99.549348469","93.921850288",20,51.1
"De La Cruz, Bryan","650559","2024","27","584","622","136","90","25","0","21","170","29",27.3,4.7,".233",".384",".271","0.655","224","3",".247",".433",".283",".307",".284",".187",71.8,19.8,12.7,9.2,32.7,23.7,"7.7","20","89.6","13.1",35.6,9.3,41.3,"99.848652919","94.22196445",30.1,53.4
"Bell, Josh","605137","2024","31","538","603","134","90","23","2","19","120","51",19.9,8.5,".249",".405",".319","0.724","218","6",".243",".409",".317",".315",".315",".166",70.4,15,15.4,11.6,36.1,27.2,"7.9","14","88.9","10.5",31.4,7.6,40.1,"100.078711292","94.16958744",26.8,48.8
"Stott, Bryson","681082","2024","26","506","571","124","92","19","2","11","93","53",16.3,9.3,".245",".356",".315","0.671","180","3",".258",".370",".296",".309",".329",".112",68.2,1.9,8.8,7.5,34.8,29.7,"7.1","22","87","14",35.3,3.6,30.8,"97.149266143","92.631038831",16.9,44.1
"Santana, Carlos","467793","2024","38","521","594","124","75","26","0","23","99","65",16.7,10.9,".238",".420",".328","0.748","219","6",".247",".422",".326",".330",".337",".175",71.8,19.4,13.6,10.7,36.1,28.3,"7.6","8","89.2","16.1",30.9,7.3,39.9,"99.506124387","94.004167778",23.3,43.3
